sentence,item_start,item_end,amount_start,amount_end
"During the season, Harvest of Fig brought in 39594 INR.",30,33,45,50
"In March, Around noon, I spent 26632 Rs. on sunflower seeds.",44,59,31,36
"Yesterday, grain storage bags was given for 23256 INR per kilo.",11,29,44,49
"Recently, eggplant saplings purchase cost us 29778 INR.",10,27,45,50
"Early morning, solar purchase came to 20884 INR.",15,20,38,43
"Today, Spent 10105 rupees on purchasing dates for my farm.",40,45,13,18
"Just now, Pineapple was sold for 13136 INR yesterday.",10,19,33,38
"On Monday, Paid full amount 28822 Rs. for corn seeds delivery.",42,52,28,33
"Early morning, The market price of Brinjal was 11791 Rs..",35,42,47,52
"Last month, Market sale of irrigation pipe gave 23256 rupees.",27,42,48,53
"Today, The expense for harvesting machine was 40574 Rs..",23,41,46,51
"On Monday, Settled 36488 ₹ for dragon fruit purchase.",31,43,19,24
"Yesterday, Received 30303 INR from selling lavender plants.",43,58,20,25
"In the evening, We bought Cauliflower for 9105 INR at the weekly market.",26,37,42,46
"A week ago, Received 31539 rupees from selling Sapota (Chikoo).",47,62,21,26
Market sale of aquaculture supplies gave 13854 ₹.,15,35,41,46
"Earlier today, almond trees is fetching 25712 rupees this season.",15,27,40,45
"Last month, For Grapes, the price was 30167 ₹.",16,22,38,43
"Today, The invoice for bees shows 22385 rupees.",23,27,34,39
"During the season, The bill for Pear came to 44223 Rs..",32,36,45,50
"During the season, Advance of 13202 Rs. paid for rose plants.",49,60,30,35
"In the evening, guava tree is worth 18103 INR now.",16,26,36,41
Rs. 26827 was spent on Jackfruit.,23,32,4,9
"Just now, The expense for lavender plants was 26930 INR.",26,41,46,51
"Recently, ghee is fetching 6908 ₹ this season.",10,14,27,31
"On Monday, Onion was given for 2715 INR per kilo.",11,16,31,35
"In the evening, Harvest of rose plants brought in 38535 Rs..",27,38,50,55
"Last month, For sugarcane, the price was 42884 ₹.",16,25,41,46
"During the season, The market price of jackfruit tree was 15258 rupees.",39,53,58,63
"Just now, Total earnings from harrow were 11944 Rs..",30,36,42,47
"Recently, I spent 21854 INR on Kiwi last month.",31,35,18,23
"In March, jamun saplings fetched 19837 ₹ at the auction.",10,24,33,38
"Early morning, tractor repair is fetching 833 INR this season.",15,29,42,45
"Recently, Acquired Carrot by paying 3377 rupees.",19,25,36,40
"In March, Advance of 36578 Rs. paid for soil test kit.",40,53,21,26
guava tree is fetching 9206 rupees this season.,0,10,23,27
"In March, Payment of 11023 ₹ was made for Mulberry.",42,50,21,26
"In the evening, The invoice for buffalo shows 1145 rupees.",32,39,46,50
papaya tree is sold for 49836 Rs. today.,0,11,24,29
"Earlier today, For pepper, the price was 611 ₹.",19,25,41,44
"Early morning, Bought blueberry plants today and paid 23616 ₹.",22,38,54,59
"Just now, Farmer earned 8755 INR from maize sales.",38,43,24,28
Advance of 38509 INR paid for turmeric.,30,38,11,16
"Last month, I gave 44954 rupees as investment for Radish.",50,56,19,24
We sold milking machine for 4708 INR today.,8,23,28,32
"Today, Settled 30888 INR for watermelon plants purchase.",29,46,15,20
"During the season, Total earnings from poultry feed were 14340 INR.",39,51,57,62
"Early morning, The cost of sheep is 18579 Rs..",27,32,36,41
"Early morning, I gave 31539 rupees as investment for palm oil.",53,61,22,27
"A week ago, Harvested custard apple and sold for 27551 Rs..",22,35,49,54
"Today, Rs. 11822 was spent on Sapota (Chikoo).",30,45,11,16
We bought Brinjal for 34524 rupees at the weekly market.,10,17,22,27
"In March, Orange fetched 16483 Rs. at the auction.",10,16,25,30
"Just now, Paid 32877 Rs. to buy Coconut.",32,39,15,20
"On Monday, Rs. 23298 was spent on hay bales.",34,43,15,20
"On Monday, Cost of chickens amounted to 36258 Rs..",19,27,40,45
"Just now, Payment of 33072 rupees was made for Peas.",47,51,21,26
We spent 5175 rupees on dates repair.,24,29,9,13
"On Monday, In the local market, Mulberry is priced at 39141 INR.",32,40,54,59
"Just now, The market price of blackberry plants was 38020 Rs..",30,47,52,57
"Last month, Advance of 36120 Rs. paid for marigold flowers.",42,58,23,28
"In the evening, Pumpkin purchase came to 30624 ₹.",16,23,41,46
"On Monday, fish feed goes for 6631 rupees these days.",11,20,30,34
"Recently, We sold Bitter Gourd for 35044 ₹ today.",18,30,35,40
"In the evening, The cost of Cauliflower is 7451 Rs..",28,39,43,47
"Yesterday, Sweet Corn purchase came to 23823 INR.",11,21,39,44
"On Monday, Today’s market rate for horses is 33896 Rs..",35,41,45,50
"Today, Pomegranate goes for 38839 ₹ these days.",7,18,28,33
"Yesterday, eggplant saplings is billed at 5237 ₹.",11,28,42,46
"On Monday, The bill for jackfruit tree came to 9742 rupees.",24,38,47,51
"Earlier today, Mulberry goes for 14120 INR these days.",15,23,33,38
"Just now, Spent 3089 Rs. on purchasing wheat seeds for my farm.",39,50,16,20
"During the season, Amount paid for beehives was 35764 ₹.",35,43,48,53
"Last month, They charged 41188 Rs. for Jackfruit.",39,48,25,30
"On Monday, Received 48447 INR from selling custard apple.",43,56,20,25
"A week ago, Current rate of seed drill is 14154 ₹.",28,38,42,47
"A week ago, Total earnings from chickens were 32984 INR.",32,40,46,51
"Just now, Farmer purchased banana tree for 25824 ₹.",27,38,43,48
"Just now, I invested 33813 rupees for buying irrigation pipe.",45,60,21,26
"In March, For mango tree, the price was 26937 rupees.",14,24,40,45
"Just now, I gave 23789 Rs. as investment for banana plants.",45,58,17,22
"In March, Total earnings from Coconut were 8096 Rs..",30,37,43,47
"Earlier today, The market price of honey extractor was 26426 ₹.",35,50,55,60
"Last month, fish fingerlings fetched 45932 rupees at the auction.",12,28,37,42
"Yesterday, Sold Brinjal in the market and earned 13854 Rs..",16,23,49,54
"Last month, For Kiwi, the price was 11252 Rs..",16,20,36,41
"Early morning, Around noon, I spent 44712 rupees on papaya.",52,58,36,41
"Today, Sold milking machine in the market and earned 21361 rupees.",12,27,53,58
"Today, I spent 18967 INR on jackfruit tree last month.",28,42,15,20
poultry cage was sold for 39982 rupees yesterday.,0,12,26,31
"Earlier today, Settled 36075 Rs. for almond trees purchase.",37,49,23,28
"Today, Current rate of duck feed is 23156 INR.",23,32,36,41
"Yesterday, Acquired lemons by paying 42051 Rs..",20,26,37,42
"Yesterday, Total earnings from Spinach were 19266 INR.",31,38,44,49
"Recently, fertilizer price today is 46378 INR.",10,20,36,41
"Yesterday, Around noon, I spent 26453 ₹ on fish fingerlings.",43,59,32,37
"On Monday, Current rate of jackfruit tree is 27851 INR.",27,41,45,50
"During the season, Quoted price for Mulberry is 9790 ₹.",36,44,48,52
"Early morning, The cost of Papaya is 6357 rupees.",27,33,37,41
"A week ago, Settled 49394 ₹ for pepper purchase.",32,38,20,25
"Early morning, Bought tulip bulbs today and paid 27670 Rs..",22,33,49,54
"Recently, I had to pay 26877 Rs. for Green Beans.",37,48,23,28
"In the evening, The market price of tractor repair was 22102 INR.",36,50,55,60
"In March, Spent 6023 ₹ on purchasing yogurt for my farm.",37,43,16,20
"Just now, For Mango, the price was 9854 rupees.",14,19,35,39
"Recently, Bought Mulberry today and paid 10022 INR.",17,25,41,46
"Early morning, Mango purchase cost us 48819 Rs..",15,20,38,43
"In the evening, Bought marigold flowers today and paid 31030 rupees.",23,39,55,60
"Yesterday, For Tamarind, the price was 39484 Rs..",15,23,39,44
"Just now, I spent 44224 INR on poultry cage last month.",31,43,18,23
"On Monday, drip irrigation system was given for 39910 rupees per kilo.",11,33,48,53
"Early morning, Amount paid for grapes was 48978 Rs..",31,37,42,47
"Last month, Acquired palm oil by paying 38775 Rs..",21,29,40,45
"A week ago, Rs. 44340 was spent on Potato.",35,41,16,21
"Just now, banana plants is sold for 33896 Rs. today.",10,23,36,41
"Yesterday, Got 43567 Rs. for Brinjal this morning.",29,36,15,20
"Last month, tulip bulbs is sold for 6278 rupees today.",12,23,36,40
"Early morning, Farmer purchased Lady Finger for 3778 INR.",32,43,48,52
"Recently, We spent 18103 rupees on bonsai trees repair.",35,47,19,24
"Early morning, The cost of Cauliflower is 4952 ₹.",27,38,42,46
"During the season, Around noon, I spent 33632 Rs. on tea leaves.",53,63,40,45
"Today, Sale price of dragon fruit was 9143 INR.",21,33,38,42
"In the evening, Paid 5768 ₹ to buy harrow.",35,41,21,25
"A week ago, Acquired Cucumber by paying 27709 Rs..",21,29,40,45
"A week ago, Bought Drumstick today and paid 33887 INR.",19,28,44,49
"Recently, The invoice for Peas shows 11592 rupees.",26,30,37,42
"During the season, Farmer earned 24000 Rs. from pumpkin seeds sales.",48,61,33,38
"Recently, Rs. 12318 was spent on seedling trays.",33,47,14,19
"Last month, herbicide was sold for 31985 rupees yesterday.",12,21,35,40
"Early morning, Today, lychee is sold for 13515 rupees.",22,28,41,46
"Last month, The market price of Peach was 23610 Rs..",32,37,42,47
"During the season, Paid 586 rupees to buy Grapes.",42,48,24,27
"Recently, Rs. 10768 was spent on farm fencing.",33,45,14,19
"Recently, Got 48235 ₹ for bees this morning.",26,30,14,19
I invested 3501 rupees for buying rotavator.,34,43,11,15
"Just now, The invoice for water trough shows 30338 Rs..",26,38,45,50
"In March, The market price of beehives was 21956 rupees.",30,38,43,48
The expense for sprinkler system was 21276 rupees.,16,32,37,42
"Early morning, The market price of yogurt was 24950 ₹.",35,41,46,51
"A week ago, I had to pay 27124 Rs. for goats.",39,44,25,30
"In the local market, Bitter Gourd is priced at 3053 INR.",21,33,47,51
"Last month, Today’s market rate for bees is 9790 Rs..",36,40,44,48
"In March, The invoice for Blueberry shows 17391 ₹.",26,35,42,47
"Yesterday, wind turbines is billed at 47776 rupees.",11,24,38,43
"Today, Rs. 29770 was spent on eggplant saplings.",30,47,11,16
"Just now, We sold wheat seeds for 18412 ₹ today.",18,29,34,39
"A week ago, pesticide was sold for 29778 INR yesterday.",12,21,35,40
"A week ago, Settled 22523 ₹ for wind turbines purchase.",32,45,20,25
"Recently, Amount due for jackfruit tree is 11471 ₹.",25,39,43,48
"On Monday, Capsicum was sold for 21913 ₹ yesterday.",11,19,33,38
"In March, Purchased Beet root at 46131 rupees.",20,29,33,38
"Early morning, The invoice for Snake Gourd shows 29684 Rs..",31,42,49,54
"A week ago, Advance of 35359 INR paid for Strawberry.",42,52,23,28
"Recently, Harvested olive saplings and sold for 24945 Rs..",20,34,48,53
"Today, Current rate of papaya tree is 6442 ₹.",23,34,38,42
"Earlier today, Cauliflower was given for 25675 Rs. per kilo.",15,26,41,46
"Just now, Paid 4400 ₹ to buy Green Beans.",29,40,15,19
"In March, Paid 41564 INR to buy Bitter Gourd.",32,44,15,20
"A week ago, I had to pay 25515 rupees for oranges.",42,49,25,30
"Early morning, lemons is fetching 18937 ₹ this season.",15,21,34,39
"Recently, The invoice for milking machine shows 28790 INR.",26,41,48,53
"Last month, We spent 978 INR on coffee beans repair.",32,44,21,24
"Last month, The cost of silo repair is 40329 ₹.",24,35,39,44
"Today, Purchased guava tree at 20341 INR.",17,27,31,36
"In March, For Cauliflower, the price was 8638 ₹.",14,25,41,45
I had to pay 38537 INR for Beet root.,27,36,13,18
"Earlier today, This season, I paid 49463 Rs. for hay bales.",49,58,35,40
"Just now, Payment of 37080 INR was made for cocoa pods.",44,54,21,26
"On Monday, Total earnings from Strawberry were 38712 rupees.",31,41,47,52
"Just now, Payment of 17109 ₹ was made for silo repair.",42,53,21,26
"Just now, In the local market, cattle shed is priced at 29770 ₹.",31,42,56,61
"Last month, Advance of 5985 rupees paid for water trough.",44,56,23,27
"Just now, Spent 32296 Rs. on purchasing Turnip for my farm.",40,46,16,21
"A week ago, Paid full amount 34699 ₹ for Date Palm delivery.",41,50,29,34
"Recently, Harvested rice seeds and sold for 27330 Rs..",20,30,44,49
"Just now, This season, I paid 25712 rupees for carrot seeds.",47,59,30,35
"During the season, I gave 7782 ₹ as investment for solar panels.",51,63,26,30
Sale price of tulip bulbs was 11652 INR.,14,25,30,35
"In March, Around noon, I spent 21637 rupees on fish feed.",47,56,31,36
"A week ago, Cost of Fig amounted to 35586 ₹.",20,23,36,41
We spent 41295 Rs. on jasmine plants repair.,22,36,9,14
"In the evening, Acquired Bitter Gourd by paying 47399 INR.",25,37,48,53
"Early morning, Received 40035 Rs. from selling goat.",47,51,24,29
"Today, Total earnings from Guava were 28809 rupees.",27,32,38,43
"Yesterday, The invoice for Bitter Gourd shows 11785 INR.",27,39,46,51
"In the evening, Lychee was given for 15080 rupees per kilo.",16,22,37,42
"In the evening, The invoice for Snake Gourd shows 49527 INR.",32,43,50,55
"During the season, Fig is fetching 17354 Rs. this season.",19,22,35,40
Farmer earned 41955 INR from Peas sales.,29,33,14,19
"During the season, In the local market, Mango is priced at 1882 INR.",40,45,59,63
"Yesterday, Settled 45787 INR for Jackfruit purchase.",33,42,19,24
"Earlier today, Rs. 37664 was spent on Beetroot.",38,46,19,24
"Today, Paid full amount 22992 ₹ for Sweet Corn delivery.",36,46,24,29
"Yesterday, Around noon, I spent 45184 rupees on custard apple.",48,61,32,37
"Just now, Acquired Lychee by paying 14980 rupees.",19,25,36,41
"In March, duck feed is sold for 3255 Rs. today.",10,19,32,36
"In March, Quoted price for tulip bulbs is 39520 rupees.",27,38,42,47
"Today, Lychee is worth 42689 rupees now.",7,13,23,28
"Yesterday, ₹8369 was given to buy Date Palm.",34,43,12,16
"During the season, Rs. 4518 was spent on ghee.",41,45,23,27
Bought Radish today and paid 46326 Rs..,7,13,29,34
aquaculture supplies is sold for 38177 ₹ today.,0,20,33,38
"On Monday, In the local market, Pineapple is priced at 48234 rupees.",32,41,55,60
"Earlier today, coconut trees is fetching 6405 rupees this season.",15,28,41,45
"During the season, Paid full amount 36991 INR for mango saplings delivery.",50,64,36,41
"Recently, Market sale of Sweet Corn gave 45244 ₹.",25,35,41,46
"In March, Total earnings from Sapota (Chikoo) were 40783 Rs..",30,45,51,56
Spent 32730 Rs. on purchasing cotton bales for my farm.,30,42,6,11
"Last month, Received 30400 ₹ from selling Pomegranate.",42,53,21,26
"On Monday, They charged 31315 ₹ for duck feed.",36,45,24,29
"Just now, Settled 49375 Rs. for sunflower seeds purchase.",32,47,18,23
"Today, I spent 47476 Rs. on Grapes last month.",28,34,15,20
"Earlier today, Sold Lychee in the market and earned 26573 rupees.",20,26,52,57
"Recently, The market price of cow was 42756 rupees.",30,33,38,43
"In the evening, Got 13136 Rs. for fish fingerlings this morning.",34,50,20,25
"Yesterday, I spent 37205 INR on rose plants last month.",32,43,19,24
"In the evening, Pumpkin purchase cost us 46326 ₹.",16,23,41,46
"In the evening, Sale price of fungicide was 30781 Rs..",30,39,44,49
"Just now, Cabbage purchase cost us 49524 Rs..",10,17,35,40
"Just now, Farmer purchased Snake Gourd for 42285 ₹.",27,38,43,48
"Early morning, Market sale of carrot seeds gave 39957 ₹.",30,42,48,53
"On Monday, banana plants is fetching 3286 ₹ this season.",11,24,37,41
"Early morning, Paid 43816 Rs. to buy Grapes.",37,43,20,25
"A week ago, Harvested goat and sold for 22055 INR.",22,26,40,45
"During the season, plough repair is fetching 7365 INR this season.",19,32,45,49
"Early morning, sunflower seeds is fetching 24364 INR this season.",15,30,43,48
"Early morning, This season, I paid 22523 ₹ for oranges.",47,54,35,40
"During the season, silo repair was sold for 39842 rupees yesterday.",19,30,44,49
"Just now, I invested 37765 Rs. for buying Cauliflower.",42,53,21,26
"During the season, Today, tomato plants is sold for 31809 rupees.",26,39,52,57
"During the season, Rs. 22181 was spent on raspberry plants.",42,58,23,28
"On Monday, nursery plants purchase cost us 6772 rupees.",11,25,43,47
"In the evening, Today, irrigation pipe is sold for 47265 rupees.",23,38,51,56
"Early morning, I spent 15811 ₹ on chili plants last month.",34,46,23,28
"In the evening, I gave 36035 Rs. as investment for cattle shed.",51,62,23,28
"A week ago, I spent 20899 Rs. on irrigation pipe last month.",33,48,20,25
"Just now, Harvest of cocoa pods brought in 35174 INR.",21,31,43,48
"Earlier today, We sold chickens for 14389 ₹ today.",23,31,36,41
"On Monday, Today’s market rate for milking machine is 38247 rupees.",35,50,54,59
"Early morning, Advance of 17196 Rs. paid for Apricot.",45,52,26,31
"Recently, ₹14980 was given to buy coconut trees.",34,47,11,16
"On Monday, For Fig, the price was 40687 ₹.",15,18,34,39
"Yesterday, In the local market, rice seeds is priced at 11396 INR.",32,42,56,61
"Just now, In the local market, Pomegranate is priced at 24581 Rs..",31,42,56,61
"During the season, Today, dates is sold for 34746 rupees.",26,31,44,49
"In the evening, harrow purchase came to 8815 Rs..",16,22,40,44
"During the season, Used 46326 rupees to buy Spinach.",44,51,24,29
"Last month, Peas purchase came to 6565 rupees.",12,16,34,38
"In March, I spent 35070 rupees on buffalo last month.",34,41,18,23
"Today, Today’s market rate for Spinach is 2616 Rs..",31,38,42,46
"During the season, Spinach purchase cost us 11111 Rs..",19,26,44,49
"Early morning, I had to pay 31889 rupees for dragon fruit.",45,57,28,33
"In March, For eggplant saplings, the price was 48875 ₹.",14,31,47,52
Cost of raspberry plants amounted to 35879 ₹.,8,24,37,42
"In March, Sold maize in the market and earned 2133 ₹.",15,20,46,50
"Recently, We sold pigs for 4175 ₹ today.",18,22,27,31
"Yesterday, rice seeds purchase cost us 11328 ₹.",11,21,39,44
"Earlier today, Rs. 3497 was spent on oranges.",37,44,19,23
"Just now, Current rate of lavender plants is 35447 INR.",26,41,45,50
weed killer price today is 29042 rupees.,0,11,27,32
"On Monday, Tamarind is sold for 28585 Rs. today.",11,19,32,37
I invested 28818 Rs. for buying Plum.,32,36,11,16
Current rate of turmeric is 40080 rupees.,16,24,28,33
"In March, Market sale of Apricot gave 37343 Rs..",25,32,38,43
"A week ago, Received 37050 ₹ from selling Peas.",42,46,21,26
Amount paid for goats was 15514 Rs..,16,21,26,31
"Recently, harrow was given for 19425 ₹ per kilo.",10,16,31,36
"During the season, banana plants fetched 42285 rupees at the auction.",19,32,41,46
"During the season, We sold Jackfruit for 48978 rupees today.",27,36,41,46
Farmer earned 45416 Rs. from donkeys sales.,29,36,14,19
"A week ago, poultry feed purchase came to 38771 Rs..",12,24,42,47
"Last month, Around noon, I spent 22850 ₹ on Potato.",44,50,33,38
"Last month, Market sale of jackfruit tree gave 36581 INR.",27,41,47,52
"Just now, Strawberry is worth 33303 rupees now.",10,20,30,35
"Today, Amount paid for Green Beans was 47122 ₹.",23,34,39,44
"During the season, I gave 12319 Rs. as investment for tractor repair.",54,68,26,31
"In March, harrow purchase came to 35961 rupees.",10,16,34,39
"Recently, maize is billed at 30555 ₹.",10,15,29,34
"Last month, Market sale of soybean seeds gave 46051 Rs..",27,40,46,51
"During the season, Used 40601 ₹ to buy turkeys.",39,46,24,29
"Last month, Amount paid for jamun saplings was 11592 INR.",28,42,47,52
"In March, Sale price of jackfruit was 4368 ₹.",24,33,38,42
"Yesterday, Used 26390 rupees to buy fish feed.",36,45,16,21
"During the season, I gave 10021 Rs. as investment for Snake Gourd.",54,65,26,31
"During the season, Peas was sold for 41564 Rs. yesterday.",19,23,37,42
"Recently, Green Beans was sold for 30210 ₹ yesterday.",10,21,35,40
"Early morning, In the local market, papaya is priced at 25423 Rs..",36,42,56,61
Guava price today is 20808 ₹.,0,5,21,26
"In March, Cost of turkeys amounted to 13670 ₹.",18,25,38,43
"Just now, oranges was given for 10022 INR per kilo.",10,17,32,37
"Just now, This season, I paid 6504 Rs. for jackfruit tree.",43,57,30,34
"Around noon, I spent 24364 rupees on milk.",37,41,21,26
"Earlier today, The bill for Kiwi came to 27399 rupees.",28,32,41,46
"A week ago, grapes is worth 40488 Rs. now.",12,18,28,33
"Recently, Radish purchase came to 49262 ₹.",10,16,34,39
"On Monday, Carrot fetched 13745 ₹ at the auction.",11,17,26,31
"Yesterday, Harvest of blackberry plants brought in 33719 ₹.",22,39,51,56
"On Monday, Bought pigs today and paid 19100 rupees.",18,22,38,43
"On Monday, They charged 5045 rupees for maize.",40,45,24,28
"Earlier today, Current rate of corn seeds is 586 Rs..",31,41,45,48
We bought avocados for 7036 INR at the weekly market.,10,18,23,27
"Just now, Harvested Apricot and sold for 1596 rupees.",20,27,41,45
"Today, I had to pay 12568 rupees for Fig.",37,40,20,25
Farmer purchased horses for 12706 Rs..,17,23,28,33
"During the season, Used 18482 Rs. to buy soybean seeds.",41,54,24,29
"Early morning, Cost of Drumstick amounted to 19513 Rs..",23,32,45,50
"Last month, This season, I paid 38115 Rs. for seed drill.",46,56,32,37
"On Monday, The cost of coconut tree is 25971 ₹.",23,35,39,44
"A week ago, Advance of 23447 INR paid for lily bulbs.",42,52,23,28
Spent 45197 INR on purchasing plough repair for my farm.,30,43,6,11
guava tree was given for 25185 ₹ per kilo.,0,10,25,30
"Early morning, Acquired tulip bulbs by paying 24606 ₹.",24,35,46,51
"On Monday, Amount paid for turkeys was 35359 ₹.",27,34,39,44
"Just now, Farmer earned 25114 ₹ from Bitter Gourd sales.",37,49,24,29
"Early morning, Current rate of fish feed is 2133 ₹.",31,40,44,48
"A week ago, Farmer purchased jamun saplings for 36440 Rs..",29,43,48,53
"Last month, The cost of blueberry plants is 13695 INR.",24,40,44,49
"Earlier today, Paid 28765 ₹ to buy Tamarind.",35,43,20,25
"Just now, seed drill purchase came to 38125 INR.",10,20,38,43
"Early morning, Quoted price for goat is 25391 INR.",32,36,40,45
"In March, seed drill was sold for 49585 INR yesterday.",10,20,34,39
"In the evening, Amount due for avocados is 22216 Rs..",31,39,43,48
"In March, The expense for figs was 6331 Rs..",26,30,35,39
"Just now, Around noon, I spent 36225 Rs. on Apple.",44,49,31,36
"On Monday, Got 2715 rupees for Beetroot this morning.",31,39,15,19
"Early morning, Market sale of mulberry gave 42993 INR.",30,38,44,49
"Last month, The cost of hay bales is 40999 Rs..",24,33,37,42
I invested 36297 rupees for buying tea leaves.,35,45,11,16
"Last month, Market sale of solar gave 3428 INR.",27,32,38,42
"Recently, Today, greenhouse setup is sold for 30907 Rs..",17,33,46,51
"In the evening, Paid 23699 ₹ to buy Plum.",36,40,21,26
"Recently, lychee price today is 13854 rupees.",10,16,32,37
"Recently, For tomato plants, the price was 5536 INR.",14,27,43,47
"In the evening, Sale price of sugarcane was 22236 INR.",30,39,44,49
"Recently, The market price of jamun saplings was 32323 Rs..",30,44,49,54
"A week ago, The invoice for Lady Finger shows 27841 rupees.",28,39,46,51
"Recently, solar panels is sold for 7036 Rs. today.",10,22,35,39
The cost of poultry cage is 7752 Rs..,12,24,28,32
Paid 14333 INR to buy Peach.,22,27,5,10
I gave 31533 Rs. as investment for papaya.,35,41,7,12
"On Monday, Received 22596 rupees from selling pumpkin seeds.",46,59,20,25
"On Monday, greenhouse setup purchase came to 19425 rupees.",11,27,45,50
"Earlier today, Spinach purchase came to 9693 Rs..",15,22,40,44
"Last month, Sold harrow in the market and earned 49466 Rs..",17,23,49,54
I spent 10217 INR on mango saplings last month.,21,35,8,13
"Last month, watermelon plants was sold for 40670 Rs. yesterday.",12,29,43,48
"Last month, Harvest of drip irrigation kit brought in 19630 rupees.",23,42,54,59
"Just now, wheat seeds is worth 19474 Rs. now.",10,21,31,36
"In March, Carrot is sold for 5896 rupees today.",10,16,29,33
"Early morning, For harrow, the price was 14639 rupees.",19,25,41,46
"In the evening, Purchased apples at 38771 rupees.",26,32,36,41
"During the season, Today, turkeys is sold for 7999 rupees.",26,33,46,50
"Today, Amount paid for lily bulbs was 39842 rupees.",23,33,38,43
"In the evening, Farmer earned 4144 INR from pesticide sales.",44,53,30,34
"A week ago, I spent 25744 INR on lemons last month.",33,39,20,25
"Yesterday, I gave 7365 Rs. as investment for solar panels.",45,57,18,22
"Earlier today, Today, banana plants is sold for 30293 Rs..",22,35,48,53
Spent 18645 ₹ on purchasing seedling trays for my farm.,28,42,6,11
"Last month, milking machine is worth 24950 Rs. now.",12,27,37,42
"Recently, The bill for chickens came to 4518 ₹.",23,31,40,44
"Recently, Used 8638 ₹ to buy rotavator.",29,38,15,19
"Recently, The market price of dates was 1303 ₹.",30,35,40,44
"Yesterday, ₹28794 was given to buy onion seeds.",35,46,12,17
"Yesterday, Advance of 47476 ₹ paid for fish fingerlings.",39,55,22,27
"A week ago, We sold Custard Apple for 24687 ₹ today.",20,33,38,43
"On Monday, I gave 31014 ₹ as investment for Mulberry.",44,52,18,23
"Last month, Tamarind purchase cost us 12919 INR.",12,20,38,43
"A week ago, Today’s market rate for ginger is 39701 Rs..",36,42,46,51
"During the season, almond trees is sold for 20625 ₹ today.",19,31,44,49
"Recently, ₹43134 was given to buy plough repair.",34,47,11,16
"Yesterday, Amount paid for cow was 29527 rupees.",27,30,35,40
"Today, garlic bulbs goes for 41150 rupees these days.",7,19,29,34
"Yesterday, The expense for Cucumber was 37192 rupees.",27,35,40,45
"Today, ₹23156 was given to buy grain storage bags.",31,49,8,13
"A week ago, Apple was sold for 15781 rupees yesterday.",12,17,31,36
"Last month, Market sale of watermelon plants gave 12903 rupees.",27,44,50,55
"In March, Sold Jackfruit in the market and earned 5045 ₹.",15,24,50,54
"Just now, Today, poultry feed is sold for 33199 ₹.",17,29,42,47
"In the evening, Cost of lily bulbs amounted to 30210 ₹.",24,34,47,52
"During the season, I had to pay 14799 ₹ for Sweet Corn.",44,54,32,37
"During the season, Today, papaya is sold for 26453 INR.",26,32,45,50
"Earlier today, Sweet Potato was sold for 20399 rupees yesterday.",15,27,41,46
"On Monday, Bought silo repair today and paid 34598 rupees.",18,29,45,50
"During the season, Got 28467 Rs. for Potato this morning.",37,43,23,28
"Earlier today, onion seeds was given for 12846 Rs. per kilo.",15,26,41,46
"Yesterday, Bought ginger today and paid 42015 rupees.",18,24,40,45
"Yesterday, Advance of 23256 Rs. paid for horses.",41,47,22,27
"A week ago, This season, I paid 26335 INR for farm fencing.",46,58,32,37
"On Monday, The cost of solar water pump is 36758 INR.",23,39,43,48
"Today, Amount due for lychee is 31602 rupees.",22,28,32,37
"Last month, fertilizer price today is 19189 ₹.",12,22,38,43
"Last month, Amount paid for Sweet Potato was 7615 ₹.",28,40,45,49
"Just now, For sunflower seeds, the price was 28745 Rs..",14,29,45,50
The market price of Capsicum was 18967 Rs..,20,28,33,38
"Recently, harrow was sold for 36031 INR yesterday.",10,16,30,35
"Yesterday, Peach was sold for 11978 Rs. yesterday.",11,16,30,35
"A week ago, Farmer earned 37774 Rs. from figs sales.",41,45,26,31
"Earlier today, The market price of pesticide was 20044 Rs..",35,44,49,54
Farmer earned 4623 ₹ from jasmine plants sales.,26,40,14,18
"In March, The market price of Spinach was 10122 Rs..",30,37,42,47
The bill for sheep came to 5792 ₹.,13,18,27,31
"In the evening, ₹37091 was given to buy cheese.",40,46,17,22
"Yesterday, Advance of 33758 Rs. paid for Snake Gourd.",41,52,22,27
"In March, I gave 10869 rupees as investment for jasmine plants.",48,62,17,22
"Last month, Paid full amount 47820 Rs. for Turnip delivery.",43,49,29,34
Onion goes for 47476 rupees these days.,0,5,15,20
"During the season, The bill for hay bales came to 15631 Rs..",32,41,50,55
"Around noon, I spent 27670 INR on coconut trees.",34,47,21,26
"Just now, This season, I paid 45832 rupees for pesticide.",47,56,30,35
"Earlier today, I invested 27239 Rs. for buying tulip bulbs.",47,58,26,31
The bill for harrow came to 18666 Rs..,13,19,28,33
"Yesterday, Amount due for sunflower seeds is 28202 INR.",26,41,45,50
"During the season, ₹19324 was given to buy goats.",43,48,20,25
"In the evening, This season, I paid 36332 Rs. for donkeys.",50,57,36,41
"Today, Paid 12319 rupees to buy coconut trees.",32,45,12,17
"In March, Market sale of ghee gave 4741 INR.",25,29,35,39
"Last month, For seed drill, the price was 24918 rupees.",16,26,42,47
"Recently, Cost of irrigation pipe amounted to 15384 rupees.",18,33,46,51
"In the evening, greenhouse setup fetched 33083 Rs. at the auction.",16,32,41,46
"Earlier today, watermelon plants was given for 41289 ₹ per kilo.",15,32,47,52
"During the season, Sold Turnip in the market and earned 43074 ₹.",24,30,56,61
